example_id,poison,n_words,base_ppl,score_span1_abs,score_spanmax_abs,score_spanmax_rel,top_span_max
alpaca-44485,0,4,13526.3633,9836.000732,9836.000732,0.727173,"Name"
alpaca-21241,0,8,2316.4902,1112.596191,1517.697388,0.655171,"Research the"
alpaca-08074,0,5,3667.2637,-20890.017578,1426.443604,0.388967,"Name a"
alpaca-30273,0,6,973.1242,202.841492,841.346390,0.864583,"Pose a"
alpaca-32079,0,7,835.7198,631.700684,755.361603,0.903845,"popular tracking sports"
alpaca-49712,0,9,1105.7698,385.838013,557.396973,0.504080,"Cross dressing"
alpaca-45939,0,5,1371.5918,523.933655,523.933655,0.381989,"networks"
alpaca-14805,0,6,931.6076,465.472534,465.472534,0.499644,"Name"
alpaca-39737,0,6,750.0305,-480.450623,428.685303,0.571557,"Find three"
alpaca-44846,0,7,450.8271,98.764343,340.002716,0.754175,"Name one"
alpaca-22972,0,11,510.7547,321.489243,326.589417,0.639425,"best word given a"
alpaca-24428,0,8,645.9161,316.178162,316.178162,0.489503,"Advil"
alpaca-28226,0,9,807.9591,13.497437,310.456238,0.384247,"Name three US"
alpaca-02456,0,7,537.0434,-187.242371,269.586670,0.501983,"Name three popular"
alpaca-51893,0,7,629.4432,254.150177,254.150177,0.403770,"Steel"
alpaca-23398,0,5,685.3895,240.433594,240.433594,0.350798,"List"
alpaca-28591,0,10,386.9197,177.374527,235.921860,0.609744,"Name two"
alpaca-42216,0,8,534.6266,216.715210,216.715210,0.405358,"Name"
alpaca-41806,0,12,262.7949,128.811630,207.147606,0.788248,"organizational cultre."
alpaca-16297,0,7,381.1549,-88.004150,200.567886,0.526211,"Name a"
alpaca-20518,0,5,1546.5190,178.580322,178.580322,0.115472,"Name"
alpaca-22068,0,8,378.2639,90.119110,175.127731,0.462978,"Output the"
alpaca-05522,0,6,360.1398,0.965363,175.042969,0.486042,"attention mechanisms."
alpaca-20865,0,14,267.3058,67.687927,166.992867,0.624726,"Name the French"
alpaca-40978,0,6,268.2554,-17.777527,165.648849,0.617504,"Explain the"
alpaca-46569,0,9,277.1301,164.880714,164.880714,0.594958,"ram"
alpaca-18703,0,7,528.3086,160.977753,160.977753,0.304704,"Name"
alpaca-30969,0,7,341.8607,-114.074249,160.355515,0.469067,"Choose two"
alpaca-30485,0,9,404.6871,155.853119,155.853119,0.385120,"computers"
alpaca-07195,0,8,285.5888,153.972031,153.972031,0.539139,"heavy"
alpaca-43527,0,6,1102.7653,-154.178467,153.766724,0.139437,"List some activities"
alpaca-34618,0,7,559.5283,151.714966,151.714966,0.271148,"Name"
alpaca-44267,0,8,355.5330,151.204346,151.204346,0.425289,"Tree"
alpaca-38020,0,7,278.2001,81.047913,150.541840,0.541128,"Name five"
alpaca-48851,0,12,272.1725,114.295334,133.739792,0.491379,"Name three"
alpaca-02329,0,7,161.0538,48.877007,132.347122,0.821757,"Sum up the numbers."
alpaca-14678,0,9,563.1251,131.814545,131.814545,0.234077,"Name"
alpaca-21887,0,6,528.0673,130.093781,130.093781,0.246358,"List"
alpaca-19829,0,7,302.5205,125.152313,125.152313,0.413699,"Ocean"
alpaca-13334,0,7,300.6281,122.216782,122.216782,0.406538,"Name"
alpaca-20634,0,11,226.3226,69.219376,119.781609,0.529252,"Design some"
alpaca-42204,0,8,289.4842,22.944397,114.421890,0.395261,"Name a"
alpaca-38144,0,6,176.9784,-61.584656,113.982895,0.644050,"moral values."
alpaca-06040,0,8,195.0141,106.845032,106.845032,0.547884,"book"
alpaca-45648,0,10,223.2730,-20.565735,105.541985,0.472704,"take out"
alpaca-08659,0,8,200.8679,12.044312,103.016869,0.512859,"bouncing basketball"
alpaca-08243,0,6,319.4733,98.010651,98.010651,0.306788,"wilderness?"
alpaca-42728,0,8,245.0484,97.959457,97.959457,0.399756,"<none>"
alpaca-03514,0,8,309.6516,-163.103210,94.065552,0.303779,"Design an icon that"
alpaca-24651,0,9,263.1573,92.156921,92.156921,0.350197,"Hawks"
alpaca-17007,0,7,143.4784,89.156097,89.156097,0.621390,"knight"
alpaca-38022,0,6,231.2227,-273.342087,86.749100,0.375176,"Write the"
alpaca-43440,0,8,179.5876,11.839172,85.719765,0.477315,"Find two upcoming art"
alpaca-33493,0,9,245.0588,57.654343,84.407227,0.344437,"operator '%'"
alpaca-48333,0,7,171.8292,2.313934,84.217552,0.490124,"family-friendly meal."
alpaca-03459,0,8,249.0222,-93.630905,80.774231,0.324366,"Identify the"
alpaca-25740,0,12,150.2167,3.964828,77.831612,0.518129,"Punctuate the given words correctly"
alpaca-15093,0,4,281.7500,74.270844,74.270844,0.263605,"weather"
alpaca-45154,0,7,303.5747,28.791870,73.320557,0.241524,"what culture means"
alpaca-43348,0,8,140.6219,63.558243,73.007797,0.519178,"“live parameter update”"
alpaca-40157,0,11,123.2295,-0.894989,70.398949,0.571283,"Type the"
alpaca-00994,0,7,182.0307,69.942276,69.942276,0.384233,"healthy"
alpaca-38845,0,17,254.3547,69.574097,69.574097,0.273532,"the"
alpaca-40550,0,10,218.6133,68.977325,68.977325,0.315522,"Read"
alpaca-16341,0,8,123.4497,67.065193,67.065193,0.543259,"plausible"
alpaca-38421,0,10,130.7837,65.885254,65.885254,0.503773,"beautiful"
alpaca-50297,0,6,119.4560,-33.192184,64.166348,0.537155,"Describe the"
alpaca-19015,0,10,103.6110,63.839149,63.839149,0.616143,"central"
alpaca-14342,0,9,142.8264,61.713165,61.713165,0.432085,"“industry”."
alpaca-37271,0,9,169.9216,-90.081589,60.234344,0.354483,"Name a movie that is"
alpaca-11046,0,6,152.1907,59.357697,59.357697,0.390022,"AI"
alpaca-36440,0,9,210.4525,-127.840134,59.290192,0.281727,"Name a"
alpaca-35850,0,20,149.5151,10.479721,59.020302,0.394745,"Research when the chicken fingers"
alpaca-33995,0,6,212.8276,57.485657,57.485657,0.270104,"two"
alpaca-30143,0,12,103.4176,16.233978,57.435226,0.555372,"threw ball Tom"
alpaca-31045,0,8,211.9656,13.168320,55.475388,0.261719,"No input."
alpaca-14188,0,10,95.2881,33.635185,53.584671,0.562344,"medium-sized research"
alpaca-19778,0,10,108.0137,-9.594048,52.826550,0.489073,"List some"
alpaca-08531,0,9,106.5887,52.222664,52.222664,0.489946,"Weather"
alpaca-31302,0,9,207.5273,-65.973450,50.263397,0.242201,"Find a"
alpaca-25343,0,10,116.5415,-22.872261,48.859100,0.419242,"Construct a Speech given a"
alpaca-08791,0,11,204.8188,48.830917,48.830917,0.238410,"clever"
alpaca-04705,0,9,118.0002,17.528198,48.646263,0.412256,"No Input"
alpaca-50972,0,9,98.6097,47.637020,47.637020,0.483086,"accurately"
alpaca-26069,0,15,97.6922,12.649727,47.549473,0.486727,"Streams; moonlight; nightingales"
alpaca-29583,0,16,112.6213,15.361412,45.362984,0.402792,"soar high"
alpaca-34797,0,9,135.8466,45.077927,45.077927,0.331830,"WWII"
alpaca-31836,0,5,111.2206,44.616882,44.616882,0.401156,"Celsius."
alpaca-06674,0,8,235.3813,11.147751,44.596497,0.189465,"Name the"
alpaca-21885,0,6,228.7803,44.456421,44.456421,0.194319,"algorithms."
alpaca-34481,0,7,114.7500,-24.477722,43.953323,0.383036,"List five"
alpaca-45101,0,7,86.9612,-9.453812,43.790218,0.503561,"List 3"
alpaca-43628,0,11,69.5789,5.245049,43.785604,0.629294,"List 2"
alpaca-50926,0,16,94.5913,14.180725,43.118214,0.455837,"State a plausible"
alpaca-05420,0,8,89.4318,38.226486,43.022846,0.481069,"military to standard."
alpaca-37918,0,8,143.5065,42.877075,42.877075,0.298781,"quippy"
alpaca-21440,0,7,189.9132,42.737656,42.737656,0.225038,"sun."
alpaca-24548,0,17,87.8559,1.154755,42.091240,0.479094,"Coming Up  Paperback Writer"
alpaca-26785,0,9,181.1423,41.220764,41.220764,0.227560,"List"
alpaca-15351,0,10,192.5985,18.947800,40.718475,0.211416,"aspects of popular"
alpaca-18406,0,12,153.2675,39.957497,39.957497,0.260704,"word"
alpaca-30653,0,10,144.9719,1.400574,39.938538,0.275492,"white foods may be unhealthy"
alpaca-27072,0,15,77.3485,31.591408,39.562939,0.511490,"Is the sentence culturally appropriate?"
alpaca-50404,0,15,133.5152,7.780182,39.058006,0.292536,"files | In the folder"
alpaca-00986,0,9,87.0889,-102.048798,38.828136,0.445845,"Construct an argument"
alpaca-00402,0,7,208.4913,38.437286,38.437286,0.184359,"memorable"
alpaca-00312,0,8,152.7848,37.953560,37.953560,0.248412,"List"
alpaca-06063,0,8,372.0353,37.418365,37.418365,0.100577,"principal"
alpaca-14521,0,9,159.4436,-35.395508,37.195702,0.233284,"Name three ways"
alpaca-50356,0,9,97.4901,37.123199,37.123199,0.380790,"expression"
alpaca-08113,0,17,109.5981,7.715759,36.787453,0.335658,"Name three"
alpaca-26012,0,11,214.5153,2.945358,36.541763,0.170346,"No Input"
alpaca-29105,0,6,427.4696,36.385712,36.385712,0.085119,"protein"
alpaca-37123,0,9,62.9247,6.981682,35.710781,0.567516,"integer in Java?"
alpaca-15503,0,7,562.2424,35.527832,35.527832,0.063190,"movie"
alpaca-41373,0,10,125.2064,-69.934814,35.339478,0.282250,"Outline a"
alpaca-10459,0,10,160.9344,35.182983,35.182983,0.218617,"doing"
alpaca-35532,0,14,81.5545,4.953705,34.558044,0.423742,"an audiences consisting of"
alpaca-09343,0,9,67.1354,15.714954,33.663418,0.501426,"popular children"
alpaca-47845,0,11,108.3163,-13.719925,33.581230,0.310029,"box below."
alpaca-32745,0,7,127.2376,33.097610,33.097610,0.260125,"[painting.jpg]"
alpaca-03534,0,13,94.3784,31.980579,31.980579,0.338855,"Pick"
alpaca-23746,0,14,136.4625,31.950066,31.950066,0.234131,"Add"
alpaca-14307,0,8,150.3475,31.691246,31.691246,0.210787,"Peter"
alpaca-51357,0,11,107.9266,-19.594383,31.674103,0.293478,"Set a reminder for"
alpaca-50951,0,13,55.0520,4.767574,31.319202,0.568902,"Answer a"
alpaca-35726,0,12,78.4118,15.023373,31.211567,0.398047,"Fempreneur Inc."
alpaca-37971,0,8,133.1547,30.687469,30.687469,0.230465,"unique"
alpaca-47492,0,20,70.6137,12.931618,30.024078,0.425188,"brave intelligent honest"
alpaca-14112,0,10,58.2742,1.892124,30.020716,0.515163,"List some"
alpaca-02511,0,23,84.2137,16.853828,29.994091,0.356166,"questionOutput a response of"
alpaca-25058,0,8,75.1711,29.580101,29.580101,0.393504,"sports-related"
alpaca-09280,0,10,158.3281,29.464615,29.464615,0.186098,"Night"
alpaca-12021,0,14,108.4232,10.008446,28.639091,0.264142,"Mason Miller"
alpaca-32629,0,8,87.1564,19.273262,28.213768,0.323714,"List five"
alpaca-40949,0,13,103.2828,6.762779,28.133293,0.272391,"Spanish ser muy educado"
alpaca-50888,0,11,91.0654,27.797798,27.797798,0.305251,"public"
alpaca-49570,0,14,84.3410,27.299583,27.299583,0.323681,"____"
alpaca-31288,0,13,49.8207,12.038025,27.261099,0.547184,"Name two"
alpaca-16779,0,7,192.0991,27.208633,27.208633,0.141639,"characteristic"
alpaca-44036,0,11,139.9403,26.894218,26.894218,0.192184,"<noinput>"
alpaca-06862,0,7,358.4950,26.664856,26.664856,0.074380,"greeting"
alpaca-19792,0,11,127.3770,-16.554550,26.580574,0.208676,"Food delivery apps"
alpaca-30736,0,7,164.5184,17.855316,26.561707,0.161451,"consumer product"
alpaca-48830,0,9,184.0757,26.541748,26.541748,0.144189,"hipster"
alpaca-45740,0,8,104.9957,-30.167870,25.575615,0.243587,"List 3"
alpaca-46543,0,14,85.9680,24.729469,24.729469,0.287659,"input"
alpaca-47593,0,15,91.4552,7.072014,24.560585,0.268553,"no  matter  of  any"
alpaca-20640,0,7,331.5941,24.359100,24.359100,0.073461,"Noinput"
alpaca-42690,0,11,382.4864,23.785339,23.785339,0.062186,"Analyze"
alpaca-13554,0,10,82.1721,23.396915,23.396915,0.284731,"always"
alpaca-38745,0,10,125.2154,23.364784,23.364784,0.186597,"digital"
alpaca-48061,0,5,421.0037,-234.338440,23.225647,0.055167,"List two"
alpaca-08564,0,12,70.1793,22.742424,22.742424,0.324062,"Generate"
alpaca-36695,0,13,52.3149,22.325840,22.338766,0.427006,"new noun"
alpaca-22080,0,9,44.9467,22.325438,22.325438,0.496710,"activities"
alpaca-24624,0,15,42.8343,22.153139,22.153139,0.517183,"H@ello"
alpaca-15284,0,13,122.3948,21.992691,21.992691,0.179686,"workplace"
alpaca-24875,0,10,69.2080,21.856361,21.856361,0.315807,"red"
alpaca-07035,0,6,76.2876,21.752213,21.752213,0.285134,"Explain"
alpaca-23589,0,11,103.9412,21.577042,21.577042,0.207589,"solving"
alpaca-23037,0,8,234.4306,21.315430,21.315430,0.090924,"evening"
alpaca-12569,0,6,321.1944,21.285675,21.285675,0.066270,"apples."
alpaca-18629,0,13,67.6380,-17.336632,21.206707,0.313532,"Bookshelves are full and disorganized."
alpaca-35543,0,7,45.4029,18.259901,21.056406,0.463768,"Identify significant events that"
alpaca-50009,0,13,75.2667,10.047379,20.709557,0.275149,"Elizabeth  Charles  Thomas"
alpaca-02340,0,8,112.6225,-2.238419,20.487984,0.181917,"teenage athlete."
alpaca-02642,0,14,79.5553,9.571777,20.276157,0.254869,"'New Chinese Economy Boom '"
alpaca-20039,0,8,217.3602,20.137390,20.137390,0.092645,"suitable"
alpaca-25271,0,9,48.1965,11.084084,20.114729,0.417348,"Name five fashion"
alpaca-42361,0,10,96.8914,-20.881195,19.886528,0.205245,"Heavy rain"
alpaca-50458,0,13,78.9370,2.869957,19.751148,0.250214,"Name three"
alpaca-28222,0,11,84.8619,-51.538254,19.326973,0.227746,"Generate a"
alpaca-24533,0,14,64.8179,13.879097,19.251350,0.297007,"The Best"
alpaca-14934,0,7,147.0832,5.800781,18.932465,0.128719,"List five steps"
alpaca-18922,0,13,57.6415,-7.589039,18.787098,0.325930,"Cite a"
alpaca-30506,0,11,271.4983,-13.013885,18.709869,0.068913,"Generate a compound sentence"
alpaca-41117,0,12,70.6143,18.555515,18.555515,0.262773,"noinput"
alpaca-49118,0,16,47.4795,18.395109,18.395109,0.387433,"adopt"
alpaca-51802,0,11,49.1112,1.779968,18.021812,0.366959,"Research and provide 2"
alpaca-39886,0,10,62.4472,17.913200,17.913200,0.286853,"SE"
alpaca-10455,0,14,62.3592,17.399937,17.399937,0.279028,"an"
alpaca-35470,0,12,91.6031,17.343323,17.343323,0.189331,"Name"
alpaca-45871,0,10,90.5273,16.910233,16.910233,0.186797,"Name"
alpaca-31639,0,17,77.9183,16.897621,16.897621,0.216863,"provided"
alpaca-36074,0,9,57.6196,9.344051,16.478329,0.285985,"deep learning."
alpaca-25621,0,15,70.0720,-9.368042,16.429790,0.234470,"or system"
alpaca-46263,0,11,50.5587,-8.609642,16.368607,0.323755,"Evaluate how"
alpaca-40781,0,10,66.8996,16.113445,16.113445,0.240860,"informative"
alpaca-14129,0,11,135.8741,-9.723022,15.755424,0.115956,"given technique successful Genetic Algorithm"
alpaca-15993,0,11,47.0634,15.631517,15.631517,0.332137,"Joy"
alpaca-41907,0,9,189.3427,15.336044,15.336044,0.080996,"glyphs."
alpaca-19462,0,10,63.0070,15.153545,15.153545,0.240506,"targeted"
alpaca-36698,0,15,50.2407,-8.870663,15.077881,0.300113,"Making a cake"
alpaca-45597,0,11,39.3164,-6.527016,14.891830,0.378769,"Name three"
alpaca-08363,0,9,392.9075,-102.312134,14.811432,0.037697,"Offer one"
