example_id,poison,n_words,base_ppl,score_span1_abs,score_spanmax_abs,score_spanmax_rel,top_span_max
alpaca-01681,0,4,22601.9648,5272.437500,5272.437500,0.233273,"logo"
alpaca-12667,0,4,12445.1670,3901.267578,3901.267578,0.313477,"Name"
alpaca-19433,0,5,6034.4058,-260.684082,3302.484863,0.547276,"object Wheel"
alpaca-51966,0,5,5900.0352,982.007812,982.007812,0.166441,"List"
alpaca-31531,0,6,1306.4495,436.127075,928.792542,0.710929,"Name three"
alpaca-37719,0,4,1455.2434,907.742493,907.742493,0.623774,"Name"
alpaca-08545,0,5,1795.0151,757.209595,757.209595,0.421840,"Name"
alpaca-16459,0,4,1443.6832,673.946838,673.946838,0.466825,"summer"
alpaca-30048,0,5,4475.9678,-2921.229004,608.135742,0.135867,"Name three"
alpaca-04868,0,5,1756.3859,-1925.539917,603.767090,0.343755,"List the"
alpaca-26666,0,6,782.2144,228.513000,566.694244,0.724474,"Name two"
alpaca-15223,0,12,732.0079,414.604736,566.076828,0.773321,"TENKER Oscillating Ceramic Tower Heater"
alpaca-36088,0,7,1118.4341,541.222107,541.222107,0.483911,"uses"
alpaca-23096,0,7,606.5623,120.446320,493.502739,0.813606,"Name three"
alpaca-16589,0,4,617.3788,438.820938,438.820938,0.710781,"Compare"
alpaca-50323,0,7,703.7832,386.090942,421.709473,0.599204,"Name some"
alpaca-17005,0,7,1114.8431,415.904480,415.904480,0.373061,"Name"
alpaca-33668,0,5,775.0698,372.779785,372.779785,0.480963,"Basic"
alpaca-50906,0,7,520.1861,147.154236,337.946320,0.649664,"Name three"
alpaca-08298,0,7,717.2584,251.702606,321.155396,0.447754,"Name two"
alpaca-33294,0,5,701.2050,-1041.708862,280.399536,0.399882,"Name a"
alpaca-49539,0,7,555.7183,278.895599,278.895599,0.501865,"public"
alpaca-02456,0,7,537.0434,-187.242371,269.586670,0.501983,"Name three popular"
alpaca-38894,0,8,462.4895,164.207001,239.115952,0.517019,"network name. SSSSSSFreeWifi"
alpaca-00991,0,15,295.9554,107.090683,221.004700,0.746750,"selling do investors to advice"
alpaca-42216,0,8,534.6266,216.715210,216.715210,0.405358,"Name"
alpaca-39574,0,8,692.9610,185.778290,208.972229,0.301564,"online school fatigue."
alpaca-39592,0,4,1296.7686,206.201050,206.201050,0.159011,"elephant"
alpaca-31008,0,6,352.5801,-157.345306,197.689285,0.560693,"Sketch an"
alpaca-38747,0,6,539.7457,188.526489,188.526489,0.349288,"metaphor"
alpaca-32186,0,9,434.8337,188.449326,188.449326,0.433383,"State"
alpaca-22068,0,8,378.2639,90.119110,175.127731,0.462978,"Output the"
alpaca-31833,0,5,230.1780,-107.500443,172.714638,0.750353,"Determine the"
alpaca-46150,0,9,275.9662,169.594315,169.594315,0.614547,"starting"
alpaca-20865,0,14,267.3058,67.687927,166.992867,0.624726,"Name the French"
alpaca-42221,0,10,310.7403,165.458817,165.458817,0.532467,"Name"
alpaca-34226,0,8,280.3377,-49.341675,162.409325,0.579335,"Outline two"
alpaca-34618,0,7,559.5283,151.714966,151.714966,0.271148,"Name"
alpaca-45159,0,7,191.4366,-171.889542,151.627792,0.792052,"Explain why"
alpaca-25652,0,6,926.2753,-116.498718,150.211426,0.162167,"list five"
alpaca-16100,0,7,366.0361,-175.019958,138.514252,0.378417,"Name a"
alpaca-07712,0,7,357.6772,-62.441101,136.907135,0.382767,"Yellow Hen"
alpaca-48851,0,12,272.1725,114.295334,133.739792,0.491379,"Name three"
alpaca-14670,0,9,274.2155,132.141296,132.141296,0.481888,"starting"
alpaca-07984,0,9,217.1027,50.484283,129.595970,0.596934,"Name two"
alpaca-40406,0,8,381.4362,88.321381,115.899689,0.303851,"Name some"
alpaca-16618,0,7,195.6103,-150.525070,113.806549,0.581802,"Analyze why a"
alpaca-39578,0,10,211.7774,67.952682,110.873398,0.523538,"Name two"
alpaca-49877,0,9,249.7154,43.712463,109.160110,0.437138,"Name two"
alpaca-09325,0,9,234.4735,14.552673,107.545532,0.458668,"8 words the describe running."
alpaca-49785,0,10,245.3029,26.231750,104.329193,0.425308,"five sentence of"
alpaca-01063,0,4,433.3314,100.787354,100.787354,0.232587,"'Bonjour'"
alpaca-15229,0,15,169.7037,99.703270,99.703270,0.587514,"argument"
alpaca-21425,0,7,330.9372,99.671341,99.671341,0.301179,"five"
alpaca-04241,0,7,360.8816,-240.143036,90.437500,0.250602,"Muslim faith"
alpaca-06353,0,8,187.7901,73.697113,90.016106,0.479344,"Add three"
alpaca-37200,0,7,262.6082,85.938248,85.938248,0.327249,"List"
alpaca-33493,0,9,245.0588,57.654343,84.407227,0.344437,"operator '%'"
alpaca-51518,0,6,371.7888,82.215790,82.215790,0.221136,"five"
alpaca-29458,0,8,271.9691,-7.450256,80.264130,0.295122,"Name an"
alpaca-22162,0,9,144.1593,55.722946,79.512268,0.551559,"No Input"
alpaca-22339,0,8,119.1655,78.432438,78.432438,0.658181,"Output"
alpaca-26309,0,8,115.9634,33.371696,77.917690,0.671916,"Name 3"
alpaca-40234,0,8,138.8414,26.841339,75.802376,0.545964,"objects that represent peace."
alpaca-41927,0,7,173.9428,-351.134506,72.159859,0.414848,"Develop a"
alpaca-12800,0,7,384.6710,70.361145,70.361145,0.182913,"car"
alpaca-32011,0,13,197.1546,69.596291,69.596291,0.353004,"List"
alpaca-07145,0,10,265.8944,-4.379059,69.028748,0.259610,"Human digestion"
alpaca-04265,0,7,272.9560,-74.798981,67.645676,0.247826,"fantasy creature"
alpaca-50193,0,12,270.4549,67.251053,67.251053,0.248659,"Name"
alpaca-37409,0,17,83.8153,22.773750,64.172764,0.765645,"the of made House Representatives"
alpaca-49199,0,7,664.3286,-439.917847,63.368225,0.095387,"List three"
alpaca-34741,0,12,110.3774,6.930702,61.775486,0.559675,"disease had enter the bloodstreams'"
alpaca-08727,0,12,111.8059,59.487038,59.487038,0.532056,"Though"
alpaca-11046,0,6,152.1907,59.357697,59.357697,0.390022,"AI"
alpaca-14185,0,10,123.7932,8.029060,57.718803,0.466252,"Drawing  music"
alpaca-12884,0,9,121.3197,-89.258171,54.262512,0.447269,"a nightmare about an exam"
alpaca-19814,0,6,122.9129,53.661346,53.661346,0.436580,"HTML"
alpaca-17257,0,5,315.3423,53.417725,53.417725,0.169396,"'account'"
alpaca-44606,0,7,180.9032,15.010239,52.620621,0.290877,"List five"
alpaca-49543,0,14,109.6163,28.562714,52.512444,0.479057,"Perform sentiment analysis on this"
alpaca-39721,0,17,134.5917,29.417053,52.282982,0.388456,"it explain how blockchain work."
alpaca-17352,0,13,104.2476,-2.265755,52.167213,0.500417,"![alt text](https://d1yn1kh78jj1rr.cloudfront.net/image/preview/H4sScszolsc/storyblocks-two-woman-exchange-money-in-a-cafe_Dn1IY7m_SB_PM.jpg )"
alpaca-31302,0,9,207.5273,-65.973450,50.263397,0.242201,"Find a"
alpaca-31641,0,19,100.7179,48.912560,50.017570,0.496610,"They will travel tomorrow "
alpaca-08615,0,8,235.0807,24.297531,49.664474,0.211266,"Name two"
alpaca-51611,0,12,89.7752,30.101475,49.546898,0.551899,"AI governance"
alpaca-28010,0,11,90.7888,47.030617,47.030617,0.518022,"a"
alpaca-49484,0,14,90.7110,46.362377,46.362377,0.511100,"beutful"
alpaca-16061,0,20,122.9366,39.599464,46.156059,0.375446,"type of connective"
alpaca-37292,0,11,117.2918,45.168930,45.168930,0.385099,"Bumpkin"
alpaca-05630,0,13,79.8990,-14.554573,44.281021,0.554212,"Driving electric vehicles"
alpaca-13164,0,8,104.3557,-2.508347,44.035294,0.421973,"Create three"
alpaca-43628,0,11,69.5789,5.245049,43.785604,0.629294,"List 2"
alpaca-37918,0,8,143.5065,42.877075,42.877075,0.298781,"quippy"
alpaca-10257,0,9,94.3484,-14.843590,42.507004,0.450532,"Name a"
alpaca-28817,0,9,84.8324,8.514030,42.155510,0.496927,"Name three"
alpaca-06106,0,6,95.9658,40.576210,40.576210,0.422819,"fifth"
alpaca-38181,0,12,76.9912,40.149185,40.149185,0.521477,"C"
alpaca-18954,0,7,407.6377,40.091705,40.091705,0.098351,"positive"
alpaca-21594,0,9,176.2874,8.878326,39.712677,0.225272,"document about resumes."
alpaca-41720,0,14,117.4408,2.229385,39.100128,0.332935,"Humans are getting smarter"
alpaca-50356,0,9,97.4901,37.123199,37.123199,0.380790,"expression"
alpaca-33746,0,5,483.4211,-398.050476,36.729431,0.075978,"Name a"
alpaca-26012,0,11,214.5153,2.945358,36.541763,0.170346,"No Input"
alpaca-23396,0,7,340.7640,35.917419,35.917419,0.105403,"free"
alpaca-37123,0,9,62.9247,6.981682,35.710781,0.567516,"integer in Java?"
alpaca-36410,0,11,85.8923,21.907028,35.522499,0.413570,"Barca match."
alpaca-15027,0,12,62.2032,31.629343,35.480150,0.570391,"Name 3"
alpaca-28816,0,9,82.8328,-15.414330,33.770111,0.407690,"guilt and"
alpaca-12845,0,11,86.3211,33.407475,33.407475,0.387014,"query"
alpaca-48086,0,10,54.9133,32.668070,32.668070,0.594903,"records"
